0	0	0
0.125	0	0.124675
0.25	0	0.247404
0.375	0	0.366273
0.5	0	0.479426
0.625	0	0.585097
0.75	0	0.681639
0.875	0	0.767544
1	0	0.841471
1.125	0	0.902268
1.25	0	0.948985
1.375	0	0.980893
1.5	0	0.997495
1.625	0	0.998531
1.75	0	0.983986
1.875	0	0.954086
2	0	0.909297
2.125	0	0.85032
2.25	0	0.778073
2.375	0	0.693685
2.5	0	0.598472
2.625	0	0.49392
2.75	0	0.381661
2.875	0	0.263446
3	0	0.14112
3.125	0	0.0165919
3.25	0	-0.108195
3.375	0	-0.231294
3.5	0	-0.350783
3.625	0	-0.464799
3.75	0	-0.571561
3.875	0	-0.669405
4	0	-0.756802
4.125	0	-0.832391
4.25	0	-0.894989
4.375	0	-0.943622
4.5	0	-0.97753
4.625	0	-0.996184
4.75	0	-0.999293
4.875	0	-0.986808
5	0	-0.958924
0	0.125	0.124675
0.125	0.125	0.247439
0.25	0.125	0.366338
0.375	0.125	0.479516
0.5	0.125	0.585208
0.625	0.125	0.681765
0.75	0.125	0.76768
0.875	0.125	0.841614
1	0.125	0.902412
1.125	0.125	0.949126
1.25	0.125	0.981028
1.375	0.125	0.99762
1.5	0.125	0.998642
1.625	0.125	0.98408
1.75	0.125	0.95416
1.875	0.125	0.90935
2	0.125	0.850349
2.125	0.125	0.778078
2.25	0.125	0.693664
2.375	0.125	0.598424
2.5	0.125	0.493846
2.625	0.125	0.381561
2.75	0.125	0.263321
2.875	0.125	0.140972
3	0.125	0.0164222
3.125	0.125	-0.108384
3.25	0.125	-0.2315
3.375	0.125	-0.351004
3.5	0.125	-0.46503
3.625	0.125	-0.5718
3.75	0.125	-0.669648
3.875	0.125	-0.757046
4	0.125	-0.83263
4.125	0.125	-0.895221
4.25	0.125	-0.943841
4.375	0.125	-0.977732
4.5	0.125	-0.996363
4.625	0.125	-0.999443
4.75	0.125	-0.986922
4.875	0.125	-0.95899
5	0.125	-0.916077
0	0.25	0.247404
0.125	0.25	0.366338
0.25	0.25	0.479547
0.375	0.25	0.585264
0.5	0.25	0.681842
0.625	0.25	0.767773
0.75	0.25	0.841718
0.875	0.25	0.902524
1	0.25	0.949241
1.125	0.25	0.981142
1.25	0.25	0.997729
1.375	0.25	0.998743
1.5	0.25	0.98417
1.625	0.25	0.954236
1.75	0.25	0.90941
1.875	0.25	0.85039
2	0.25	0.778098
2.125	0.25	0.693663
2.25	0.25	0.598401
2.375	0.25	0.4938
2.5	0.25	0.381492
2.625	0.25	0.26323
2.75	0.25	0.140859
2.875	0.25	0.0162884
3	0.25	-0.108537
3.125	0.25	-0.23167
3.25	0.25	-0.351189
3.375	0.25	-0.465228
3.5	0.25	-0.572009
3.625	0.25	-0.669863
3.75	0.25	-0.757265
3.875	0.25	-0.832851
4	0.25	-0.895439
4.125	0.25	-0.944054
4.25	0.25	-0.977935
4.375	0.25	-0.996553
4.5	0.25	-0.999617
4.625	0.25	-0.987076
4.75	0.25	-0.959122
4.875	0.25	-0.916188
5	0.25	-0.858934
0	0.375	0.366273
0.125	0.375	0.479516
0.25	0.375	0.585264
0.375	0.375	0.681867
0.5	0.375	0.76782
0.625	0.375	0.841782
0.75	0.375	0.9026
0.875	0.375	0.949325
1	0.375	0.981231
1.125	0.375	0.997818
1.25	0.375	0.99883
1.375	0.375	0.984251
1.5	0.375	0.954309
1.625	0.375	0.909471
1.75	0.375	0.850437
1.875	0.375	0.77813
2	0.375	0.693677
2.125	0.375	0.598397
2.25	0.375	0.493776
2.375	0.375	0.381449
2.5	0.375	0.263166
2.625	0.375	0.140775
2.75	0.375	0.0161855
2.875	0.375	-0.108658
3	0.375	-0.231808
3.125	0.375	-0.351343
3.25	0.375	-0.465396
3.375	0.375	-0.572187
3.5	0.375	-0.670051
3.625	0.375	-0.75746
3.75	0.375	-0.83305
3.875	0.375	-0.89564
4	0.375	-0.944253
4.125	0.375	-0.978131
4.25	0.375	-0.996743
4.375	0.375	-0.999799
4.5	0.375	-0.987247
4.625	0.375	-0.959283
4.75	0.375	-0.916338
4.875	0.375	-0.859077
5	0.375	-0.788389
0	0.5	0.479426
